F4_1_TEXT,F4
9648,1
2671,1
NA,
5912,3
1324,4
6709,3
5037,4
3356,2
3645,1
4814,3
3145,2
5248,2
3533,5
7443,1
1432,1
4611,2
2401,3
8151,2
1065,5
2641,2
3573,5
2101,1
5851,1
2628,3
8447,2
2291,1
2025,4
2905,2
3541,5
3061,5
3752,1
4615,2
7001,2
9684,1
1363,4
2243,1
5615,4
2402,3
3552,5
6367,1
3941,1
1074,5
3071,5
9717,4
3721,1
9713,4
4811,3
8326,1
6835,3
3512,5
1078,5
7824,3
5921,3
1602,1
1797,1
9711,4
8012,3
3227,1
5233,3
5654,4
1093,5
1741,1
2106,1
3318,3
3985,1
6118,1
5704,1
5506,1
3222,1
5711,1
3826,3
6511,3
6846,3
8043,3
4702,2
5271,1
2496,5
4283,1
4613,3
6891,1
8933,2
5041,4
6071,1
4703,3
3372,1
3068,5
4142,1
8084,1
2408,2
2984,1
7231,1
2288,2
7909,1
9727,4
2353,1
3344,1
1098,5
5931,1
2405,3
1441,2
5667,1
3734,1
6043,1
6461,1
6219,3
4286,1
2023,4
5583,1
8932,3
6711,3
1069,5
1271,1
9036,1
7468,1
3328,1
6114,1
2613,3
2203,1
2135,2
3255,1
2564,5
1506,2
1679,1
8032,3
6224,3
3281,1
2631,1
4847,1
2581,5
3755,1
3582,5
1671,1
3833,1
2771,1
1171,2
4835,3
1689,1
8013,3
5701,2
3051,5
1703,2
7741,1
3962,1
7901,1
5803,1
7491,1
3844,1
1705,2
2985,1
8332,1
6431,1
7463,1
9725,4
7826,3
3082,5
3531,5
6006,1
1931,1
3401,1
3993,1
3286,1
1822,3
8271,1
1132,1
5473,1
6336,1
7038,1
5053,1
5563,1
9746,1
4124,1
6228,3
2421,1
6418,2
3571,5
1788,1
4531,2
2563,5
2313,3
1825,3
2032,4
5403,1
1851,1
7331,3
8085,1
2611,3
5632,4
5125,1
1566,1
9101,1
9853,1
3811,3
1351,4
6217,3
2935,1
3708,1
3633,5
7831,1
1055,5
1016,5
3544,5
3412,1
1827,3
5662,1
6732,1
3452,5
5993,1
1105,1
5042,4
9471,1
8254,1
1992,1
3119,2
3146,1
3532,5
3831,1
6164,1
9761,1
7814,3
6702,3
6641,1
4305,1
6522,3
6717,3
3817,3
8072,1
9718,4
8064,1
3064,5
2914,1
2551,5
2742,1
5554,1
1601,1
2614,3
7841,1
1077,5
1161,1
2691,1
5241,1
8731,1
9657,1
1771,1
2511,5
5242,1
3814,3
7326,3
8925,3
8265,1
9216,1
6137,1
9918,1
3181,1
5768,1
3171,1
1151,1
4461,1
4205,1
5236,3
7607,2
3235,1
9496,1
1433,1
6824,3
4384,1
9545,1
1326,4
5272,1
5561,1
3262,1
9801,1
2565,5
2071,1
2172,1
3572,5
1448,2
5032,4
7942,1
6828,3
5014,4
3832,1
2552,5
7742,1
7559,1
8926,3
9462,1
7542,3
7535,3
3417,1
3055,5
5616,4
3904,2
7241,1
5262,1
2993,1
6042,2
44,NA
5591,1
1013,5
5409,1
5621,4
2253,1
4834,3
3621,1
3089,5
1901,1
2582,5
2596,5
5051,1
5247,3
6002,1
7433,1
5702,3
3238,1
1611,1
7875,1
6673,1
9641,1
7122,1
3881,1
6471,1
2841,1
1945,1
3834,1
7793,1
2314,3
3762,1
1053,5
7523,3
1015,5
6721,1
9301,1
4561,1
5223,3
8899,1
8331,1
3813,3
7323,3
8532,1
1504,2
3053,5
3454,5
6652,1
5144,1
2907,2
5353,NA
9431,1
9611,1
4826,3
9716,4
7514,3
4891,1
7596,1
6212,3
6024,1
2311,3
3354,1
6942,1
1054,5
6987,1
3522,5
9642,1
6231,1
5258,1
3043,5
1261,1
6531,3
5623,4
2721,3
4744,1
9721,4
5404,1
5841,1
6523,3
1316,4
8023,3
1095,5
1561,1
3083,5
3584,5
7991,1
3824,3
8019,3
7772,2
2315,3
5431,1
1187,2
2651,1
6021,1
6533,3
1072,5
1814,3
5212,3
7132,1
2498,5
9321,1
9724,4
9726,4
2274,2
2024,4
3602,1
4921,1
2681,1
1222,2
2264,1
9451,1
6827,3
9213,1
6524,3
1051,5
2555,5
8321,1
8253,1
3642,1
9405,2
4515,1
1704,2
3447,2
2361,1
6591,1
5094,1
3800,NA
3971,1
6971,1
9403,2
3903,2
2654,NA
1991,NA
2722,1
9408,2
8629,2
8502,1
4102,1
8255,1
3902,2
7035,1
4904,1
7478,1
5481,1
8021,3
2586,5
1782,2
2851,1
4661,1
7544,2
3981,1
2584,5
6662,1
3079,5
3039,5
5046,4
3709,2
3054,5
7412,2
1223,2
9751,1
7609,2
3514,5
3634,1
3448,2
3607,1
3992,1
3894,1
6532,3
1815,3
5018,4
4463,1
3193,1
5049,4
3191,1
6425,NA
2625,3
3581,5
1181,2
2517,5
7322,3
7441,1
5953,1
3553,5
3862,1
6705,1
6225,3
6822,3
4823,3
5263,1
1012,5
2287,2
6133,1
3523,5
1411,1
3763,1
5085,1
5071,1
4388,1
9737,4
9027,1
7827,3
3421,1
7608,2
1076,5
9715,4
8223,2
2051,1
3366,1
3069,5
1022,5
2411,1
5043,4
3021,5
6546,3
9035,1
3769,1
1435,1
2396,1
1768,1
7091,1
1742,1
1073,5
6744,1
9712,4
1402,1
3016,5
7414,2
5052,1
2712,3
3059,5
7255,1
2587,5
3583,5
66645,NA
3232,1
5095,1
3066,5
2201,1
3706,2
1082,5
2719,3
5045,4
1079,5
6814,3
7207,1
1141,1
2594,5
2026,4
5707,2
1115,1
9102,1
3998,1
1785,2
2324,3
1724,1
2729,3
2718,3
4902,1
4793,1
7462,1
3136,2
2713,3
6521,3
2566,5
3024,5
5301,1
3223,1
7421,2
3707,2
2493,5
8539,1
3526,5
6003,1
1111,1
2035,4
1035,5
2133,2
1071,5
5391,1
2082,1
1063,5
2655,NA
2986,1
9744,4
9771,1
6881,1
9685,1
2562,5
2343,1
3845,1
3353,1
9909,1
3257,1
1276,1
7007,1
2692,1
2911,1
6862,1
3991,1
5685,1
2181,1
8401,1
3312,3
1399,1
2272,2
1059,5
6659,1
7852,1
6811,3
8016,1
6706,1
1056,5
1183,2
3351,1
2731,1
9675,1
1064,5
3901,2
6691,1
8052,1
1104,5
8162,1
7006,2
8531,1
9401,2
2726,2
6373,1
7943,1
3704,2
3011,5
7315,3
3132,2
5056,4
1862,1
5224,3
6831,3
3116,2
5626,4
2804,2
2622,3
9732,4
3363,1
1431,1
3853,1
5371,1
5345,1
4822,3
6227,3
7944,2
1031,5
5038,4
3751,1
339,NA
8015,3
2161,1
5013,4
2321,3
1501,2
7335,3
6301,1
8014,3
1412,1
7064,1
1906,1
6463,1
3411,1
1019,5
2312,3
7753,1
3603,1
2318,3
9686,1
6816,3
1186,2
1403,1
3525,5
3037,5
2635,1
5508,1
7442,1
9781,1
8232,2
8862,1
5612,4
1011,5
6222,3
1052,5
5871,1
1824,2
5642,4
3961,1
2013,4
1971,1
1507,1
1521,1
6600,NA
2221,1
1057,5
7217,1
3284,1
8913,3
2223,1
8017,3
1075,5
6041,2
8408,1
2761,1
9331,1
3742,1
7587,1
5751,1
3031,5
8024,3
2211,1
6051,1
7601,1
7447,1
6515,3
2513,5
6675,1
9981,1
3314,2
1902,1
3527,5
5102,1
3453,5
6845,3
7534,2
5131,1
1087,5
3764,1
3703,2
4381,1
3012,5
3828,1
4816,3
7961,1
1191,1
7201,1
2583,5
5142,1
2904,1
1761,1
7887,1
8565,1
1622,2
3524,5
1097,5
1112,1
2514,5
8424,1
4132,1
6991,1
1107,5
7524,2
6372,1
3137,2
7623,1
4926,1
6629,1
2316,3
3554,5
5000,NA
3513,5
3291,1
2317,3
2252,1
7121,1
8061,1
8435,1
4201,1
6957,1
6716,3
9354,1
3161,1
3972,1
4791,1
8031,3
2292,1
5944,1
3035,5
9244,1
8226,2
2811,1
4241,1
2951,1
1017,5
6821,3
2012,4
5022,4
7904,1
7521,2
6221,3
1544,1
6541,3
1935,1
2802,2
2289,1
5044,4
8171,1
7003,2
8181,1
3812,3
7621,1
7202,1
8931,2
4338,1
1447,1
9012,1
2014,4
3435,2
3075,5
4271,1
6417,2
7411,2
8262,2
5658,4
9752,1
7215,1
5384,1
4007,1
3331,1
7312,3
2171,1
2803,2
6951,1
3151,1
4472,1
8011,3
6415,2
3551,5
3561,5
3143,1
8225,2
4174,1
7327,3
1185,2
5232,3
5172,1
3958,1
6841,3
1383,1
2265,1
6921,1
4333,1
7881,1
1391,1
3823,3
5171,1
2394,1
6605,1
9404,2
6997,1
1823,2
1118,5
6674,1
3052,5
7211,1
3641,1
8051,1
4331,1
4191,1
2661,1
9271,1
7204,2
3871,1
1349,3
3925,1
3205,2
6151,1
2593,5
9051,1
5106,1
6132,1
9731,4
3402,1
2403,3
6226,3
9001,1
6681,1
6125,1
5061,1
8805,1
8042,3
9722,4
9106,1
6602,1
2636,1
1121,1
2497,5
1944,1
6812,3
1531,1
6026,1
7954,1
6825,3
6269,1
2807,2
7828,2
6136,1
1262,1
6861,1
2595,5
9914,1
3705,2
3816,3
5283,1
7971,1
3994,1
6273,1
3701,2
92,NA
5625,4
1749,1
3951,1
2926,1
5571,1
6708,1
4101,1
3481,1
4265,1
5463,1
6155,1
2983,1
9422,1
9953,1
5741,1
